name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Blue Ridge PKWY,"71,698","87,504","82,929","77,044","61,703","59,392","56,259","62,446","59,848","63,320","53,409","55,094","62,436","56,945","73,277","59,400","61,402","59,474","64,829","73,304","62,606","54,540","53,770","63,411","52,688","51,124","37,450","48,245","57,734","52,040","57,910","56,907","51,623","56,903","41,908","49,070"
Cumberland Gap NHP,"4,604","4,738","4,928","6,083","4,593","3,502","3,104","4,330","3,520","3,974","3,791","3,979","2,840","3,509","4,251","4,184","4,549","3,288","4,558","4,085","3,788","3,676","3,185","3,397","3,814","4,093","4,045","4,261","4,004","2,846","4,970","3,263","2,651","2,322","2,769","2,626"
Crater Lake NP,"8,320","24,465","22,635","18,885","2,055","1,649","1,185","1,376","1,466","1,636","3,253","2,362",963,"1,390","1,643","2,372","2,945",996,"1,106","1,443","3,179","2,408","4,292","6,803","3,123","4,266","2,999","2,401","4,165","2,751","5,076","5,778","4,241","6,527","3,022","3,313"
Canyon de Chelly NM,"13,855","14,911","17,004","18,870","18,032","17,232","18,405","19,047","26,545","26,673","25,418","24,398","28,515","36,354","24,098","22,304","24,096","25,260","24,009","24,132","23,436","18,873","12,327","9,627","14,703","10,560","9,633","8,058","9,585","8,175","8,967","7,377","5,736","3,261",527,827
Yukon-Charley Rivers NPRES,0,0,0,"1,161","1,580","1,236","2,069","1,317","1,000",646,477,"1,232","1,793","1,858","2,362","2,219","2,139","4,269","5,310","14,264","14,934","15,444","15,492","15,002","14,625","12,174","24,170","24,722","23,197","17,514","15,562","7,102","5,519","5,173","21,437","10,471"
Theodore Roosevelt NP,"15,924","14,558","16,157","14,979","8,734","7,041","7,104","6,924","7,878","6,808","7,062","7,820","9,268","9,733","10,575","12,195","10,154","12,232","10,363","9,779","9,894","10,176","9,997","9,527","10,534","9,310","8,383","7,879","7,668","9,000","10,687","11,709","10,989","12,663","13,733","13,804"
White Sands NM,621,460,521,467,387,877,476,518,870,797,991,"1,117","1,184","1,696","2,120","2,426","2,760","2,334","2,826","1,639","2,056","1,795","2,155","1,894","2,049","1,745","1,662","1,048",950,"1,330","1,751","1,811","2,185","2,272","2,284","2,087"
Great Sand Dunes NP & PRES,"17,194","16,420","16,998","17,398","15,475","16,294","16,715","15,489","17,827","17,460","18,665","19,309","22,570","24,112","24,318","24,658","26,007","24,220","24,755","21,786","24,433","18,438","23,625","20,926","23,514","23,418","23,762","22,464","24,731","26,763","29,028","27,423","25,400","21,682","17,949","25,881"
Curecanti NRA,"10,570","12,092","12,556","10,596","11,880","12,724","18,024","15,564","16,084","11,944","12,144","12,920","15,196","9,396","13,089","13,680","12,740","13,372","15,592","17,684","18,512","19,972","12,844","8,244","8,832","7,528","10,720","11,408","15,844","13,884","15,924","13,384","12,380","14,028","11,140","12,544"
Allegheny Portage Railroad NHS,33,0,0,0,0,0,0,0,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navajo NM,"5,008","5,156","5,512","4,897","5,457","5,149","5,871","4,984","6,652","7,470","5,778","4,719","5,524","6,806","6,245","6,567","6,952","4,925","4,391","1,487","1,762","1,451","1,307",699,"1,256","1,261","1,545","1,401","1,517","1,331","1,525","1,630","1,388","1,270","1,164","1,319"
Petrified Forest NP,602,612,716,281,492,432,406,586,588,477,579,682,924,"1,087",872,907,927,545,638,761,464,623,579,357,308,"1,213",272,142,198,174,276,300,252,257,264,252
Golden Gate NRA,0,0,0,0,241,"2,288","2,292","2,427","2,592","2,264","1,913","2,327","2,328","2,578","2,328","2,328","2,328","2,948","2,266","3,797","3,088","3,184","2,823","3,338","2,750","3,076","2,501","2,767","3,584","3,364","2,936","2,831","3,556","3,442","3,486","4,095"
Canaveral NS,0,0,0,80,269,180,213,447,478,336,457,948,965,"1,581","2,549","2,122","1,900","3,215","5,185","2,311","2,142","2,189","4,332","3,694","3,931","2,308","2,277","2,883","2,900","2,474","2,081","2,702","3,146","2,769","2,128","3,161"
Big Thicket NPRES,0,0,127,290,289,593,540,392,471,726,759,"1,307","1,565","1,523","2,073","2,191","2,092","2,328","1,192","1,206","1,103","1,474","1,257","1,512","1,764",938,"1,488","1,125","1,202",924,"2,722","1,932","1,891","2,807","2,461","2,450"
Redwood NP,"1,501","1,721",770,755,823,"1,401","1,950","1,438","1,437","3,192","1,156","2,191","2,261","4,149","8,280","8,222","9,138","14,436","16,010","9,125","9,545","10,357","4,049","7,889","9,833","1,736","1,620","1,407","1,310","1,521","1,541","1,758","1,294","1,362","3,567","3,676"
Black Canyon of the Gunnison NP,"11,925","13,032","11,804","11,414","10,309","8,721","2,574","2,642","2,867","2,214","2,352","5,332","10,069","9,601","10,640","6,509","7,168","5,912","4,940","5,803","7,419","7,446","7,318","6,355","5,726","6,948","6,691","6,410","7,271","7,021","7,341","8,165","9,919","10,057","9,949","9,685"
Congaree NP,0,0,0,0,0,0,55,92,382,322,274,181,167,330,260,455,293,195,312,249,288,631,454,439,212,477,490,686,795,"1,084",861,"1,174","1,176",867,579,460
Great Basin NP,0,0,0,0,0,0,0,0,"16,457","21,099","23,205","24,271","18,688","25,591","28,461","17,527","19,228","19,647","20,163","13,389","17,940","18,287","22,480","21,196","18,991","13,233","15,551","14,056","14,335","14,248","16,295","18,523","21,090","21,271","20,674","22,621"
Prince William Forest Park,"18,194","23,146","19,353","16,153","15,268","13,057","16,683","16,913","15,072","15,901","14,327","13,074","14,860","13,204","13,312","14,282","14,616","6,707","5,642","8,503","8,177","6,908","11,706","2,957","2,366","4,608","5,653","2,972","2,405","2,824","4,206","2,387","2,231","4,698","9,253","19,955"
"John D. Rockefeller, Jr. MEM PKWY","2,938","3,891","2,169","1,758","2,075","3,838","4,361","4,556","5,776","5,358","3,815","1,764","4,083","5,618","2,255","2,211","2,324","2,113","1,986","1,911","2,011","2,219","2,524","2,626","2,751","1,818","3,467","3,227","2,524","3,078","2,558","2,677","1,253","2,986",48,"1,642"
Grand Portage NM,386,465,319,313,221,267,294,239,191,187,106,159,116,74,109,142,272,89,92,70,145,83,103,179,46,66,67,154,99,125,60,210,149,200,32,48
Knife River Indian Villages NHS,0,0,0,0,8,135,0,221,137,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kobuk Valley NP,0,0,0,895,100,145,240,185,120,640,355,253,243,259,262,256,0,256,256,0,0,0,0,50,35,0,148,509,292,334,818,503,"4,896","8,400","5,925",0
Craters of the Moon NM,"3,909","6,533","6,673","5,852","4,214","4,509","3,771","3,438","3,601","1,957","1,727","1,973","6,917","8,729","9,194","8,153","7,462","6,117","5,921","6,196","6,042","5,364","5,019","5,487","5,218","5,096","4,932","4,453","4,930","4,374","5,392","5,891","5,942","6,199","6,720","6,956"
Catoctin Mountain Park,"6,925","7,752","7,137","7,531","6,585","6,179","7,052","7,278","6,943","6,794","6,607","7,355","8,441","7,457","9,344","9,297","7,087","7,807","8,521","8,406","8,519","8,247","8,700","6,670","6,606","7,281","6,644","5,825","7,098","6,455","6,233","5,902","4,557","4,187","4,300","7,706"
Carlsbad Caverns NP,"1,570","1,245","1,437","1,534",923,252,256,159,91,351,122,147,161,164,165,273,319,303,393,922,257,140,157,162,160,155,137,95,93,86,114,170,107,151,176,146
Badlands NP,"3,786","15,810","14,220","9,610","10,925","11,036","10,436","10,537","10,552","13,485","15,382","15,242","5,602","27,097","28,078","33,751","29,798","24,696","21,441","19,370","24,977","30,205","27,574","23,192","25,622","24,225","18,668","17,578","16,211","14,787","25,388","3,542","2,645","2,182","9,318","8,622"
Colorado NM,"9,271","9,110","9,188","8,169","8,498","7,460","8,618","9,467","7,497","7,127","7,928","6,805","8,353","10,643","10,118","9,642","11,215","11,238","11,033","11,363","9,912","10,611","10,224","9,243","9,433","9,920","9,673","7,522","8,516","8,318","8,883","9,595","10,131","9,793","9,575","10,997"
Wind Cave NP,"6,814","6,069","5,692","4,399","5,355","7,208","6,865","6,707","7,456","5,597","5,628","6,551","8,148","7,612","7,498","5,858","6,621","2,155","1,982","6,748","5,757","5,594","4,897","5,367","4,974","3,600","3,352","2,809","3,023","4,069","1,035","1,623","1,645","3,601","5,866","3,814"
Cape Krusenstern NM,0,0,0,225,120,40,70,100,50,310,125,109,142,190,188,177,0,177,177,0,0,0,0,40,15,0,279,505,251,267,662,427,"4,335","6,500","6,075",0
Kings Mountain NMP,0,0,0,0,0,36,52,75,49,124,71,86,56,50,92,90,37,47,78,71,69,71,131,97,80,76,90,113,96,61,87,86,92,267,107,154
Death Valley NP,"63,050","60,508","62,468","66,605","68,857","56,091","54,084","57,435","55,014","61,743","65,483","63,024","67,361","59,167","59,335","59,599","62,185","53,610","51,626","59,282","50,368","54,375","44,982","44,801","48,380","32,601","70,905","48,259","43,619","50,851","55,847","70,222","64,842","45,159","53,939","53,868"
Fort Pulaski NM,0,0,0,0,0,0,397,88,36,620,298,8,465,52,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross Lake NRA,0,0,0,0,0,0,0,0,0,0,0,0,"23,699","24,657","23,738","28,827","28,033","26,103","23,609","27,433","21,119","19,678","19,561","19,008","16,224","10,732","14,913","16,226","17,352","19,882","26,685","26,965","26,531","28,871","28,057","25,862"
Big South Fork NRRA,0,0,0,0,0,0,0,0,0,"6,255","7,312","8,915","11,416","10,351","11,760","13,629","11,226","10,657","11,386","11,530","13,477","12,936","10,265","10,698","9,950","8,971","9,098","8,381","7,884","8,929","7,799","6,955","6,399","5,656","4,517","5,050"
Cumberland Island NS,"10,061","11,109","11,120","11,987","15,102","11,880","11,108","10,856","11,907","12,618","13,663","14,438","16,081","14,126","14,567","14,812","13,122","14,207","14,471","14,116","13,362","12,294","13,369","12,909","12,261","11,677","11,224","8,928","13,596","12,840","11,512","12,499","12,201","12,616","12,700","13,171"
Big Cypress NPRES,0,0,0,0,0,0,0,0,0,0,"2,591","2,938","2,897","1,295","2,659","1,803","2,702","3,529","3,518","2,503","3,031","6,210","6,626","4,684","3,272","2,936","10,661","3,706","3,845","3,524","5,495","4,196","4,176","3,826","1,349","4,073"
Lake Chelan NRA,0,0,0,0,0,0,0,0,0,0,0,0,"5,776","5,671","6,805","3,714","6,062","5,959","6,126","6,141","5,763","4,703","3,765","4,986","5,474","5,564","4,722","3,762","4,561",20,632,"3,748","4,053","4,395","4,151","5,614"
Lake Roosevelt NRA,"29,204","35,419","45,654","44,526","40,398","39,103","26,042","49,507","55,409","57,557","59,116","62,518","58,908","45,040","51,209","55,808","57,614","44,329","48,523","43,249","42,418","39,526","33,899","38,803","37,185","34,468","35,788","41,405","42,242","40,001","54,841","55,977","66,303","58,813","62,373","45,858"
Gulf Islands NS,"37,563","38,963","40,936","49,327","43,180","41,930","40,509","45,980","40,799","39,843","38,437","40,019","39,881","40,701","41,528","40,342","33,961","25,576","32,038","29,838","36,498","32,673","26,425","26,915","29,880","24,003","1,358","1,608","2,073","5,552","13,382","19,131","32,321","34,969","31,681","33,137"
Acadia NP,"139,708","155,704","166,557","172,759","164,429","158,697","152,585","156,438","158,649","175,545","173,909","126,135","140,760","128,478","130,287","129,483","129,351","108,939","115,935","135,507","125,046","114,033","118,545","122,340","117,369","101,577","85,815","96,252","98,586","101,028","105,042","121,287","117,879","124,482","114,753","126,474"
Bering Land Bridge NPRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,0,191,432,283,375,856,"1,123","1,103","1,123","1,123","1,123"
Fire Island NS,"12,654","26,890","14,365","13,525","10,325","14,510","8,655","8,840","9,175","6,310","5,345","5,100","7,825","7,035","6,120","7,290","7,305","6,450","5,260","5,760","3,435","5,780","6,185","3,520","1,815",792,308,310,428,714,692,"1,037",885,"1,390",917,407
El Malpais NM,0,0,0,0,0,0,0,0,0,135,312,387,275,610,794,581,834,"1,283","1,444",866,649,"1,000",781,626,599,350,690,520,535,569,461,680,417,14,2,0
Obed W&SR,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,551","1,342","2,055","4,927","4,538","2,975","3,785","3,299","2,726","2,515","3,109",940,816,"1,052","1,149","1,317","1,334","1,422","1,082","1,062","1,127","1,055","1,500"
Moores Creek NB,0,0,0,0,0,0,0,0,0,0,0,12,132,222,259,220,214,38,0,0,0,49,221,164,84,0,0,0,0,167,481,271,252,"1,011",977,463
Aniakchak NM & PRES,0,0,0,0,0,0,0,0,0,0,827,"1,140",913,975,"1,163",993,0,0,0,240,620,312,312,312,223,201,530,305,107,0,0,312,156,23,381,381
Santa Monica Mountains NRA,0,0,0,101,150,70,41,0,0,0,0,"4,076","4,447","5,001","5,501",144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
Lava Beds NM,"5,025","4,968","5,701","5,698","6,136","7,578","2,359","6,798","6,504","6,789","8,614","7,360","3,867","4,666","3,359","2,943","3,439","2,295","2,219","1,580","2,229","4,107","2,619","3,898","3,667","4,093","9,615","9,062","8,398","7,766","7,739","7,540","8,093","6,150","8,889","9,081"
Chesapeake & Ohio Canal NHP,"12,199","16,339","14,612","11,935","15,128","11,455","5,813","3,519","7,644","6,958","6,763","7,961","11,334","12,584","11,227","9,785","6,632","3,942","7,041","9,332","8,868","6,941","5,014","22,223","18,521","16,085","5,012","4,276","5,840","6,571","4,770","8,432","5,536","4,933","4,669","6,479"
Wupatki NM,142,168,157,249,108,151,79,0,0,171,163,112,170,173,86,143,59,141,93,96,60,3,52,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Bowie NHS,0,0,77,32,28,63,102,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chattahoochee River NRA,0,0,0,0,0,86,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City of Rocks NRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gateway NRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,743","10,742",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devils Postpile NM,980,"5,097","2,200","2,311","2,178","8,438","2,750","2,375","3,322","3,069","3,207","3,862","4,350","2,899","3,193","3,652","3,260","3,369","3,151","2,916","3,645","3,918","3,305","3,334","2,997","2,697","2,468","2,650","2,801","2,710","3,792","3,225","2,818","2,646","2,557","2,814"
Virgin Islands NP,"1,224",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Hatteras NS,"145,399","164,920","143,454","152,830","127,465","119,789","105,877","93,405","89,358","88,917","97,430","90,508","91,902","83,676","71,415","80,845","60,151","54,735","63,587","61,369","53,174","57,471","69,815","59,980","52,877","54,759","52,096","52,917","65,534","45,081","55,318","52,966","44,100","43,842","43,098","42,934"
Mesa Verde NP,"59,280","71,516","77,248","73,676","71,816","70,592","70,632","67,872","102,116","97,060","62,506","66,449","80,923","76,978","59,928","68,299","59,921","50,788","59,289","46,329","45,507","28,114","39,591","24,725","26,990","29,557","22,569","29,011","27,808","20,357","24,657","26,994","26,489","22,705","24,066","40,400"
Chickasaw NRA,"38,556","25,100","29,250","40,413","39,833","34,652","43,597","43,872","40,539","41,455","38,489","41,355","35,816","39,750","43,252","40,102","49,156","38,400","50,295","44,488","51,175","45,127","45,115","51,716","45,391","40,525","45,921","37,422","31,748","38,751","39,126","33,506","38,573","30,060","25,222","37,275"
Dry Tortugas NP,"2,108","1,577","2,161","2,057","1,683","2,384","1,988","2,684","1,931","2,292","2,381","2,822","2,238","3,676","3,387","3,357","32,856","44,448","52,728","4,690","5,244","6,325","6,565","3,678",10,"4,676","4,312","3,052","2,174","4,118","3,394","3,362","3,822","2,982","2,836","4,438"
Chaco Culture NHP,"6,095","6,747","9,587","11,110","12,418","8,645","8,941","10,202","12,158","13,912","18,843","19,409","23,495","26,223","23,787","21,868","21,792","18,266","22,081","19,689","15,015","11,332","12,039","12,381","11,077","7,729","10,189","9,220","8,415","7,564","3,102","6,822","9,642","1,574","7,861","8,061"
Devils Tower NM,"10,107","9,862","10,266","6,564","7,825","7,112","7,363","8,265","8,033","8,072","7,341","6,297","6,807","6,776","6,355","7,551","16,468","9,368","7,982","6,516","8,056","4,748","6,932","6,682","6,900","6,273","5,657","4,853","5,583","7,584","7,013","9,300","7,827","5,470","5,284","5,459"
Indiana Dunes NL,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,260","8,554","10,796","12,940","13,157","15,674","18,991","17,713","18,997","16,961","19,121","17,419","22,819","19,685","16,597","17,323","18,501","18,690","19,065","17,978","16,538","14,051","11,643"
Greenbelt Park,"15,342","16,740","17,725","14,407","13,047","11,597","15,793","17,708","16,782","18,292","14,164","15,254","13,309","11,891","11,384","10,193","9,181","8,136","13,172","7,512","9,726","14,762","13,597","13,629","8,489","12,911","11,211","12,090","14,522","11,577","13,245","29,575","11,275","7,265","7,289","7,211"
Natchez Trace PKWY,"4,164","4,894","5,549","6,863","7,035","7,542","6,448","7,359","6,771","6,654","7,622","7,452","5,808","10,503","8,838","10,380","8,808","7,881","8,241","6,474","7,857","6,999","6,666","6,519","8,004","7,521","6,249","6,816","7,479","6,720","6,360","6,381","9,324","5,886","5,448","5,175"
New River Gorge NR,0,0,0,0,0,0,0,935,"1,643","1,831",858,"1,126",709,"2,920","2,673","6,657","8,574","10,236","10,371","11,012","11,128","12,248","10,938","11,460","5,717","6,173","5,720","5,741","6,021","6,106","7,157","6,575","5,592","6,447","6,926","6,544"
Chiricahua NM,"3,667","3,653","3,686","3,245","3,609","3,416","3,716","3,974","4,613","4,482","4,930","5,797","7,214","6,875","6,135","6,185","5,936","5,583","5,413","5,248","5,094","5,105","5,069","4,654","4,299","4,319","4,166","4,034","3,708","4,227","3,957","3,784","2,166","2,663","2,544","3,931"
Natural Bridges NM,"3,075","3,046","3,000","1,288","1,196","1,326","1,596","1,501","1,466","1,811","1,849","1,885","1,880","5,485","5,771","5,446","5,033","4,889","4,672","4,155","4,609","4,299","4,511","4,111","4,613","3,962","3,975","2,900","3,834","3,699","4,041","3,625","4,123","4,047","3,812","4,377"
Hot Springs NP,"1,606","1,486","2,069","1,774","4,596","4,311","4,571","4,006","3,738","3,626","2,912","2,353","3,338","4,117","3,466","4,168","4,812","2,202","3,141","3,131","3,152","1,591","2,968","3,072","3,481","3,088","3,175","3,175","3,990","4,771","4,597","4,086","4,570","3,050","4,273","3,901"
Pinnacles NP,"5,970","7,083","6,135","6,152","6,492","5,463","5,135","6,006","5,509","6,196","6,246","4,621","4,117","3,650","3,956","2,005","3,965","4,085","3,031",102,0,0,0,0,0,0,0,"10,459","14,256","17,115",0,0,0,0,0,0
Hovenweep NM,"1,191","1,106","1,042","1,073",839,764,631,692,870,917,"1,593","2,208","2,880","3,303","2,480","2,832","2,533",0,668,796,921,906,898,936,"1,060",895,829,828,774,860,894,991,930,871,758,902
El Morro NM,965,997,873,831,976,827,"1,263","1,606","1,876","2,307","1,887","1,977","2,354","2,678","2,353","2,732","2,285","1,333","1,241","1,538","1,136","1,341","1,513","1,505","1,413","1,425","1,801","1,798","2,275","2,070","2,068","1,349","1,128","1,491","1,441","1,586"
Cedar Breaks NM,447,653,607,"1,539","1,503","1,582","1,730","1,771","1,901","2,256","2,217","2,508","1,655","2,468","2,070","2,839","1,721","2,084","1,708","1,357","1,908","1,945","1,731","1,622","1,555","1,140",932,"1,219",618,465,572,0,"1,317","1,224",0,"2,673"
Gauley River NRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,306","2,157","1,402","1,306","1,672","1,908","2,040","2,522","2,552","2,771","2,449","2,206","2,554","2,442","2,501","2,548","2,191","2,372","2,240","2,564","2,513","10,466"
Biscayne NP,"2,232","2,352","2,336","3,408","4,076","4,888","2,888","2,484","4,632","2,892","3,027",800,"1,092","1,324",0,0,0,0,0,0,0,0,0,0,0,0,0,248,"2,002",807,934,"4,064","4,552","3,462","2,436","2,044"
Sunset Crater Volcano NM,"1,334","1,344","1,703","1,959","5,365","6,729","6,426","6,117","4,631",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Day Fossil Beds NM,107,152,90,12,16,57,36,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mojave NPRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,995","7,016","5,493","1,748","1,459","1,447","1,630","1,666","1,635",726,"1,285",698,"1,031",698,858,801,599,395
Pea Ridge NMP,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Combined,3511412,4034866,4331810,4303358,3746295,3891025,3742704,3604344,4104180,4087652,4093392,4184438,4402174,4599610,4313911,4461977,4082206,3895932,3828379,3690222,3760059,3603906,3548547,3581595,3525718,3360295,3265697,3172207,3320940,3247360,3482378,3582840,3526265,3508326,3275736,3571695
